session,mp_name,constituency,days_attended
1,nageshgodam,adilabad,6
1,ramshankar,agra,6
1,pareshrawal,ahmedabadeast,1
1,kiritsolanki,ahmedabadwest,6
1,dilipgandhi,ahmednagar,5
1,devendraaliasbholesingh,akbarpur,6
1,sanjaydhotre,akola,5
1,kcvenugopal,alappuzha,6
1,pkbiju,alathur,6
1,satishkumargautam,aligarh,6
1,dasrathtirkey,alipurduars,5
1,shyamacharangupta,allahabad,5
1,ajaytamta,almora,6
1,chandnath,alwar,6
1,ravindrababupandula,amalapuram,6
1,rattanlalkataria,ambala,6
1,hariompandey,ambedkarnagar,6
1,rahulgandhi,amethi,4
1,anandraoadsul,amravati,6
1,naranbhaikachhadiya,amreli,6
1,captainamarindersingh,amritsar,2
1,kanwarsinghtanwar,amroha,6
1,muthamsettisrinivasarao,anakapalli,6
1,dilippatel,anand,3
1,premsinghchandumajra,anandpursahib,6
1,jcdivakarreddy,anantapur,6
1,bishnupadaray,andamanandnicobarislands,6
1,dharmendrakumar,aonla,6
1,ghari,arakkonam,6
1,geethakothapalli,araku,6
1,aparupapoddar,arambagh,6
1,velumalai,arani,6
1,taslimuddin,araria,6
1,rksingh,arrah,6
1,ninongering,arunachaleast,6
1,kirenrijiju,arunachalwest,4
1,babulsupriyo,asansol,5
1,ladukishoreswain,aska,6
1,asampath,attingal,6
1,sushilkumarsingh,aurangabad,5
1,chandrakantbkhaire,aurangabad,5
1,birensinghengti,autonomousdistrict,6
1,mulayamsinghyadav,azamgarh,6
1,dharmendrayadav,badaun,6
1,pcgaddigoudar,bagalkot,6
1,satyapalsingh,baghpat,6
1,adhirranjanchowdhury,baharampur,3
1,sadhvisavitribaiphule,bahraich,6
1,bodhsinghbhagat,balaghat,6
1,rabindrakumarjena,balasore,6
1,bharatsingh,ballia,6
1,kmarpitaghosh,balurghat,5
1,haribhaiparthibhaichaudhary,banaskantha,6
1,bhaironprasadmishra,banda,6
1,pcmohan,bangalorecentral,6
1,dvsadanandagowda,bangalorenorth,5
1,dksuresh,bangalorerural,6
1,ananthkumar,bangaloresouth,6
1,kapilkrishnathakur,bangaon,6
1,jayprakashnarayanyadav,banka,5
1,devvarmamoonmoonsen,bankura,6
1,kamleshpaswan,bansgaon,5
1,manshankarninama,banswara,6
1,srirammalyadri,bapatla,4
1,priyankasinghrawat,barabanki,6
1,supriyasule,baramati,6
1,muzaffarhussainbaig,baramulla,1
1,kakolighoshdastidar,barasat,6
1,sunilkumarmondal,bardhamanpurba,6
1,mamtazsanghamita,bardhaman-durgapur,6
1,parbhubhaivasava,bardoli,6
1,santoshgangwar,bareilly,1
1,prabhaskumarsingh,bargarh,6
1,sonaramchoudhary,barmer,6
1,sirajuddinajmal,barpeta,3
1,dineshtrivedi,barrackpur,1
1,idrisali,basirhat,6
1,dineshkashyap,bastar,6
1,harishdwivedi,basti,6
1,harsimratkaurbadal,bathinda,4
1,bholasingh,begusarai,3
1,sureshcangadi,belgaum,6
1,bsreeramulu,bellary,6
1,sidhantmohapatra,berhampur,5
1,jyotidhurve,betul,5
1,virendrasingh,bhadohi,6
1,arjuncharansethi,bhadrak,6
1,shaileshkumarbulomandal,bhagalpur,5
1,nanabhaufalgunraopatole,bhandara-gondiya,5
1,bahadursinghkoli,bharatpur,6
1,mansukhabhaivasava,bharuch,6
1,bharatishiyal,bhavnagar,6
1,subhashchandrabaheriya,bhilwara,5
1,bhagirathprasad,bhind,6
1,kapilmoreshwarpatil,bhiwandi,5
1,dharamveersingh,bhiwani-mahendragarh,6
1,booranarsaiahgoud,bhongir,5
1,aloksanjar,bhopal,6
1,profprasannakumarpatasani,bhubaneswar,6
1,bhagwanthkhuba,bidar,5
1,rameshcjigajinagi,bijapur,6
1,kunwarbhartendrasingh,bijnor,5
1,arjunrammeghwal,bikaner,5
1,lakhanlalsahu,bilaspur,6
1,satabdiroybanerjee,birbhum,6
1,saumitrakhan,bishnupur,6
1,kalikeshnarayansinghdeo,bolangir,4
1,anupamhazra,bolpur,6
1,bholasingh,bulandshahr,6
1,pratapraoganpatraojadhav,buldhana,5
1,ashwinikumarchoubey,buxar,6
1,innocent,chalakudy,6
1,rdhruvanarayana,chamrajanagar,6
1,mahendranathpandey,chandauli,6
1,kirronkher,chandigarh,6
1,hansrajgangaramahir,chandrapur,5
1,sunilkumarsingh,chatra,6
1,kondavishweshwarreddy,chelvella,6
1,srvijaykumar,chennaicentral,6
1,tgvenkateshbabu,chennainorth,6
1,jayakumarjayavardhan,chennaisouth,6
1,kamalnath,chhindwara,3
1,ramsinhrathwa,chhotaudaipur,5
1,mchandrakasi,chidambaram,6
1,mveerappamoily,chikkballapur,6
1,bnchandrappa,chitradurga,6
1,naramallisivaprasad,chittoor,5
1,chandraprakashjoshi,chittorgarh,6
1,rahulkaswan,churu,6
1,pnagarajan,coimbatore,6
1,renukasinha,coochbehar,5
1,aarunmozhithevan,cuddalore,6
1,bhartruharimahtab,cuttack,6
1,natubhaigomanbhaipatel,dadraandnagarhaveli,6
1,jasvantsinhbhabhor,dahod,6
1,nalinkumarkateel,dakshinakannada,6
1,lalubhaibpatel,damananddiu,6
1,prahladsinghpatel,damoh,6
1,kirtiazad,darbhanga,6
1,ssahluwalia,darjeeling,6
1,harishmeena,dausa,6
1,gmsiddeshwara,davanagere,2
1,kalrajmishra,deoria,4
1,manoharuntwal,dewas,3
1,pashupatinathsingh,dhanbad,6
1,savitrithakur,dhar,6
1,anbumaniramadoss,dharmapuri,2
1,pralhadjoshi,dharwad,6
1,rekhaverma,dhaurahra,6
1,tathagatasatpathy,dhenkanal,5
1,badruddinajmal,dhubri,5
1,subhashramraobhamre,dhule,5
1,abhishekbanerjee,diamondharbour,6
1,rameshwarteli,dibrugarh,6
1,mudhayakumar,dindigul,6
1,harishchandradeoramchavan,dindori,6
1,jagdambikapal,domariyaganj,6
1,saugataroy,dumdum,6
1,shibusoren,dumka,1
1,tamradhwajsahu,durg,6
1,maheishgirri,eastdelhi,6
1,venakateswararaomagannti,eluru,6
1,kvthomas,ernakulam,5
1,sselvakumarachinnayan,erode,6
1,rajveersingh,etah,3
1,ashokkumardohrey,etawah,6
1,lallusingh,faizabad,6
1,krishanpal,faridabad,6
1,sadhusingh,faridkot,6
1,mukeshrajput,farrukhabad,6
1,harindersinghkhalsa,fatehgarhsahib,6
1,sadhviniranjanjyoti,fatehpur,6
1,babulalchaudhary,fatehpursikri,6
1,shersinghghubaya,ferozpur,6
1,akshayyadav,firozabad,6
1,ashokmahadeoraonete,gadchiroli-chimur,5
1,lkadvani,gandhinagar,6
1,nihalchandchauhan,ganganagar,6
1,majgenretdbckhanduriavsm,garhwal,6
1,bijoyachakraborty,gauhati,6
1,maheshsharma,gautambuddhanagar,6
1,harimanjhi,gaya,6
1,deepakdevadhikari,ghatal,1
1,genretdvksingh,ghaziabad,4
1,harinarayanrajbhar,ghosi,6
1,ravindrakumarpandey,giridih,6
1,nishikantdubey,godda,6
1,kirtivardhansingh,gonda,4
1,janakram,gopalganj,6
1,yogiadityanath,gorakhpur,6
1,mallikarjunkharge,gulbarga,6
1,jyotiradityamadhavraoscindia,guna,1
1,jayadevgalla,guntur,6
1,vinodkhanna,gurdaspur,6
1,ramvilaspaswan,hajipur,1
1,anuragsinghthakur,hamirpur,6
1,pushpendrasinghchandel,hamirpur,4
1,anshulverma,hardoi,6
1,rameshpokhriyalnishank,hardwar,4
1,hddevegowda,hassan,5
1,rajeshdiwakar,hathras,6
1,rajushetti,hatkanangle,5
1,shivkumarcudasi,haveri,5
1,jayantsinha,hazaribagh,6
1,kristappanimmala,hindupur,6
1,rajeevshankarraosatav,hingoli,5
1,dushyantchautala,hisar,5
1,ratnadenag,hooghly,4
1,udaypratapsingh,hoshangabad,6
1,vijaysampla,hoshiarpur,5
1,prasunbanerjee,howrah,5
1,asaduddinowaisi,hyderabad,6
1,advocatejoicegeorge,idukki,6
1,sumitramahajan,indore,2
1,thokchommeinya,innermanipur,6
1,rakeshsingh,jabalpur,6
1,sugatabose,jadavpur,6
1,kulamanisamal,jagatsinghpur,6
1,arunkumar,jahanabad,6
1,ramcharanbohara,jaipur,6
1,rajyavardhansinghrathore,jaipurrural,6
1,ritatarai,jajpur,6
1,santokhsinghchaudhary,jalandhar,6
1,bhanupratapsinghverma,jalaun,6
1,atnanapatil,jalgaon,5
1,raosahebdanvepatil,jalna,4
1,devjimansingrampatel,jalore,6
1,bijoychandrabarman,jalpaiguri,5
1,jugalkishoresharma,jammu,6
1,poonambenhematbhaimaadam,jamnagar,6
1,bidyutbaranmahato,jamshedpur,6
1,chiragpaswan,jamui,5
1,abhijitmukherjee,jangipur,6
1,kamladevipatle,janjgir-champa,6
1,krishnpratapsingh,jaunpur,6
1,pratimamondal,jaynagar,6
1,dushyantsingh,jhalawar-baran,4
1,birendrakumarchoudhary,jhanjharpur,6
1,umasaren,jhargram,6
1,santoshahlawat,jhunjhunu,6
1,gajendrasinghshekhawat,jodhpur,6
1,kamakhyaprasadtasa,jorhat,6
1,rajeshbhainaranbhaichudasama,junagadh,5
1,vinodchavda,kachchh,6
1,ysavinashreddy,kadapa,4
