session,mp_name,constituency.x,days_attended,nature_of_membership,start_of_term,end_of_term,no_of_term,standing_committee_membership,state,constituency.y,political_party,gender,educational_qualifications,educational_qualifications_details,age,debates,private_member_bills,questions,attendance,national_debates_average,national_private_member_bills_average,national_questions_average,national_attendance_average,states_debates_average,states_private_member_bills_average,states_questions_average,states_attendance_average,full_name
1,nageshgodam,adilabad,6,elected,2014-05-18T00:00:00Z,inoffice,first,coal&steel,telangana,adilabad,telanganarashtrasamithi,male,postgraduate,mamedou,53,4,0,2,0.84,57.5,1.8,231,0.8,33.9,1.4,247,0.69,Godam Nagesh
1,ramshankar,agra,6,elected,2014-05-18T00:00:00Z,inoffice,second,railways,uttarpradesh,agra,bharatiyajanataparty,male,doctorate,maphd;educatedatkanpuruniversityuttarpradesh,53,10,0,21,0.76,27.4,0.9,113,0.8,47.9,0.7,79,0.88,Ram Shankar Katheria
1,pareshrawal,ahmedabadeast,1,elected,2014-05-18T00:00:00Z,inoffice,first,informationtechnology,gujarat,ahmedabadeast,bharatiyajanataparty,male,graduate,bcom,62,7,0,140,0.66,57.5,1.8,231,0.8,36.2,2,219,0.84,Paresh Rawal
1,kiritsolanki,ahmedabadwest,6,elected,2014-05-18T00:00:00Z,inoffice,second,finance,gujarat,ahmedabadwest,bharatiyajanataparty,male,professionalpostgraduate,mbbsmsandfics;educatedatinhlmunicipalmedialcollegeandkmschoolofpostgraduatemedicineandresearchshethvsgeneralhospitalahmedabad;iibjmedicalcollegeandcivilhospitalahmedabad;andiiifellowof,67,297,27,330,0.98,57.5,1.8,231,0.8,36.2,2,219,0.84,Kirit Premjibhai Solanki
1,dilipgandhi,ahmednagar,5,elected,2014-05-18T00:00:00Z,inoffice,third,urbandevelopment,maharashtra,ahmednagar,bharatiyajanataparty,male,matric,ssc;educatedatpuneuniversitypunemaharashtra,66,36,2,283,0.7,57.5,1.8,231,0.8,57.6,3.5,469,0.79,Dilip Kumar Mansukhlal Gandhi
1,devendraaliasbholesingh,akbarpur,6,elected,2014-05-18T00:00:00Z,inoffice,first,energy,uttarpradesh,akbarpur,bharatiyajanataparty,male,matric,highschool,63,58,0,87,0.91,57.5,1.8,231,0.8,94.1,1.3,153,0.88,Devendra Singh @ Bhole Singh
1,sanjaydhotre,akola,5,elected,2014-05-18T00:00:00Z,inoffice,third,agriculture,maharashtra,akola,bharatiyajanataparty,male,professionalgraduate,bemech;educatedatgovernmentcollegeofengineeringamravatimaharashtra,58,26,0,470,0.87,57.5,1.8,231,0.8,57.6,3.5,469,0.79,Sanjay Shamrao Dhotre
1,kcvenugopal,alappuzha,6,elected,2014-05-18T00:00:00Z,inoffice,second,transporttourismandculture,kerala,alappuzha,indiannationalcongress,male,postgraduate,mscmathematics;educatedatcalicutuniversity,55,121,0,282,0.85,57.5,1.8,231,0.8,117.7,3.4,348,0.78,K. C. Venugopal
1,pkbiju,alathur,6,elected,2014-05-18T00:00:00Z,inoffice,second,petroleum&naturalgas,kerala,alathur,communistpartyofindiamarxist,male,postgraduate,mscpolymerchemistry;educatedatschoolofchemicalsciencesmahatamagandhiuniversitykottayamkerala,43,257,0,474,0.89,57.5,1.8,231,0.8,117.7,3.4,348,0.78,P. K. Biju
1,satishkumargautam,aligarh,6,elected,2014-05-18T00:00:00Z,inoffice,first,labour,uttarpradesh,aligarh,bharatiyajanataparty,male,matric,matric,45,11,0,37,0.94,57.5,1.8,231,0.8,94.1,1.3,153,0.88,Satish Kumar
1,dasrathtirkey,alipurduars,5,elected,2014-05-18T00:00:00Z,inoffice,first,healthandfamilywelfare,westbengal,alipurduars,allindiatrinamoolcongress,male,graduate,bcom,51,3,0,0,0.69,57.5,1.8,231,0.8,28.9,0.3,73,0.66,Dasrath Tirkey
1,shyamacharangupta,allahabad,5,elected,2014-05-18T00:00:00Z,inoffice,second,finance,uttarpradesh,allahabad,bharatiyajanataparty,male,professionalgraduate,ballbeducatedatkanpuruniversityandlucknowuniversityuttarpradesh,73,25,0,52,0.94,57.5,1.8,231,0.8,94.1,1.3,153,0.88,Shyama Charan Gupta
1,ajaytamta,almora,6,elected,2014-05-18T00:00:00Z,inoffice,first,no,uttarakhand,almora,bharatiyajanataparty,male,inter/highersecondary,interscience,45,16,0,69,0.94,35.2,1,136,0.8,28.5,3.3,73,0.91,Ajay Tamta
1,chandnath,alwar,6,elected,2014-05-18T00:00:00Z,17/09/2017,first,no,rajasthan,alwar,bharatiyajanataparty,male,graduate,badeemeddoctorate,61,23,0,88,0.47,54.2,1.6,215,0.8,119.9,3.1,298,0.87,Chand Nath
1,ravindrababupandula,amalapuram,6,elected,2014-05-18T00:00:00Z,inoffice,first,petroleum&naturalgas,andhrapradesh,amalapuram,telugudesamparty,male,professionalgraduate,mbbs,62,58,1,121,0.95,57.5,1.8,231,0.8,34.8,0.6,211,0.75,Pandula Ravindra Babu
1,rattanlalkataria,ambala,6,elected,2014-05-18T00:00:00Z,inoffice,second,finance,haryana,ambala,bharatiyajanataparty,male,postgraduate,bahonsinpoliticalsciencemallb;educatedatkurukshetrauniversitykurukshetraandsdcollegeambalacanttharyana,66,110,0,282,0.98,57.5,1.8,231,0.8,53.4,2.8,217,0.86,Rattan Lal Kataria
1,hariompandey,ambedkarnagar,6,elected,2014-05-18T00:00:00Z,inoffice,first,humanresourcedevelopment,uttarpradesh,ambedkarnagar,bharatiyajanataparty,male,postgraduate,mabpednis,61,2,0,135,0.91,57.5,1.8,231,0.8,94.1,1.3,153,0.88,Hari Om Pandey
1,rahulgandhi,amethi,4,elected,2014-05-18T00:00:00Z,inoffice,third,externalaffairs,uttarpradesh,amethi,indiannationalcongress,male,postgraduate,mphildevelopmenteconomics;educatedattrinitycollegecambridgeuniversityuk,47,11,0,0,0.54,57.5,1.8,231,0.8,94.1,1.3,153,0.88,Rahul Gandhi
1,anandraoadsul,amravati,6,elected,2014-05-18T00:00:00Z,inoffice,fifth,chemicals&fertilizers,maharashtra,amravati,shivsena,male,graduate,bcom;educatedatshivajiuniversitykolhapurmaharashtra,70,52,2,792,0.86,57.5,1.8,231,0.8,57.6,3.5,469,0.79,Anandrao Adsul
1,naranbhaikachhadiya,amreli,6,elected,2014-05-18T00:00:00Z,inoffice,second,petroleum&naturalgas,gujarat,amreli,bharatiyajanataparty,male,undermatric,educatedatcharkhadiyagovtofprimaryschool,62,108,1,560,0.91,57.5,1.8,231,0.8,36.2,2,219,0.84,Naranbhai Kachhadia
1,captainamarindersingh,amritsar,2,elected,2014-05-18T00:00:00Z,23/11/2016,second,no,punjab,amritsar,indiannationalcongress,male,graduate,graduate,75,4,0,18,0.06,42,1.2,161,0.8,32,0.3,72,0.7,Amarinder Singh
1,kanwarsinghtanwar,amroha,6,elected,2014-05-18T00:00:00Z,inoffice,first,healthandfamilywelfare,uttarpradesh,amroha,bharatiyajanataparty,male,matric,10thpass,57,21,0,304,0.92,57.5,1.8,231,0.8,94.1,1.3,153,0.88,Kanwar Singh Tanwar
1,muthamsettisrinivasarao,anakapalli,6,elected,2014-05-18T00:00:00Z,inoffice,first,industry,andhrapradesh,anakapalli,telugudesamparty,male,inter/highersecondary,highersecondarybcom,50,68,0,280,0.81,57.5,1.8,231,0.8,34.8,0.6,211,0.75,Muttamsetti Srinivasa Rao (Avanthi)
1,dilippatel,anand,3,elected,2014-05-18T00:00:00Z,inoffice,first,homeaffairs,gujarat,anand,bharatiyajanataparty,male,matric,matric,62,0,0,217,0.66,57.5,1.8,231,0.8,36.2,2,219,0.84,Dilip Patel
1,premsinghchandumajra,anandpursahib,6,elected,2014-05-18T00:00:00Z,inoffice,third,homeaffairs,punjab,anandpursahib,shiromaniakalidal,male,postgraduate,"maeconomicsmapoliticalscience
educatedatpbuniversitypatiala",68,147,0,341,0.84,57.5,1.8,231,0.8,40.5,0.9,107,0.7,Prem Singh Chandumajra
1,jcdivakarreddy,anantapur,6,elected,2014-05-18T00:00:00Z,inoffice,first,foodconsumeraffairs&publicdistribution,andhrapradesh,anantapur,telugudesamparty,male,graduate,bsc,73,4,1,280,0.75,57.5,1.8,231,0.8,34.8,0.6,211,0.75,J.C. Divakar Reddi
1,bishnupadaray,andamanandnicobarislands,6,elected,2014-05-18T00:00:00Z,inoffice,third,homeaffairs,andamanandnicobarislands,andamanandnicobarislands,bharatiyajanataparty,male,graduate,bcomhons;educatedatandamohancollegecalcuttawestbengal,67,29,0,83,0.88,57.5,1.8,231,0.8,29,0,83,0.88,Bishnu Pada Ray
